dataset,run_name,lambda_prune_ratio,lambda_div_ratio,mse_stage1_baseline,mse_final,trees_initial,trees_after_weight_prune,trees_final,prune_threshold,corr_threshold
bike,Run 4 (Div Only),0.0000,0.5000,0.0594,0.0694,60,59,34,0.0050,0.9700
bike,Run 4 (Div Only),0.0000,0.5000,0.0594,0.7039,60,59,1,0.0010,0.9000
bike,Run 4 (Div Only),0.0000,0.5000,0.0594,0.1483,60,59,13,0.0010,0.9500
bike,Run 4 (Div Only),0.0000,0.5000,0.0594,0.0694,60,59,34,0.0010,0.9700
bike,Run 4 (Div Only),0.0000,0.5000,0.0594,0.7039,60,59,1,0.0100,0.9000
bike,Run 4 (Div Only),0.0000,0.5000,0.0594,0.1483,60,59,13,0.0100,0.9500
bike,Run 4 (Div Only),0.0000,0.5000,0.0594,0.0694,60,59,34,0.0100,0.9700
bike,Run 4 (Div Only),0.0000,1.0000,0.0594,0.7039,60,59,1,0.0050,0.9000
bike,Run 4 (Div Only),0.0000,1.0000,0.0594,0.1483,60,59,13,0.0050,0.9500
bike,Run 4 (Div Only),0.0000,1.0000,0.0594,0.0692,60,59,33,0.0050,0.9700
bike,Run 4 (Div Only),0.0000,1.0000,0.0594,0.7039,60,60,1,0.0010,0.9000
bike,Run 4 (Div Only),0.0000,1.0000,0.0594,0.1483,60,60,13,0.0010,0.9500
bike,Run 4 (Div Only),0.0000,1.0000,0.0594,0.0694,60,60,34,0.0010,0.9700
bike,Run 4 (Div Only),0.0000,1.0000,0.0594,0.7039,60,59,1,0.0100,0.9000
bike,Run 4 (Div Only),0.0000,1.0000,0.0594,0.1483,60,59,13,0.0100,0.9500
bike,Run 4 (Div Only),0.0000,1.0000,0.0594,0.0692,60,59,33,0.0100,0.9700
bike,Run 3 (Prune Only),0.5000,0.0000,0.0594,0.4743,60,34,3,0.0050,0.9000
bike,Run 3 (Prune Only),0.5000,0.0000,0.0594,0.1619,60,34,10,0.0050,0.9500
bike,Run 3 (Prune Only),0.5000,0.0000,0.0594,0.0734,60,34,20,0.0050,0.9700
bike,Run 3 (Prune Only),0.5000,0.0000,0.0594,0.6103,60,50,1,0.0010,0.9000
bike,Run 3 (Prune Only),0.5000,0.0000,0.0594,0.1430,60,50,12,0.0010,0.9500
bike,Run 3 (Prune Only),0.5000,0.0000,0.0594,0.0738,60,50,28,0.0010,0.9700
bike,Run 3 (Prune Only),0.5000,0.0000,0.0594,0.6043,60,19,2,0.0100,0.9000
bike,Run 3 (Prune Only),0.5000,0.0000,0.0594,0.1663,60,19,9,0.0100,0.9500
bike,Run 3 (Prune Only),0.5000,0.0000,0.0594,0.0825,60,19,13,0.0100,0.9700
bike,Run 1 (Full Model),0.5000,0.5000,0.0594,0.6826,60,39,2,0.0050,0.9000
bike,Run 1 (Full Model),0.5000,0.5000,0.0594,0.1573,60,39,10,0.0050,0.9500
bike,Run 1 (Full Model),0.5000,0.5000,0.0594,0.0872,60,39,23,0.0050,0.9700
bike,Run 1 (Full Model),0.5000,0.5000,0.0594,0.7039,60,54,1,0.0010,0.9000
bike,Run 1 (Full Model),0.5000,0.5000,0.0594,0.1500,60,54,12,0.0010,0.9500
bike,Run 1 (Full Model),0.5000,0.5000,0.0594,0.0798,60,54,31,0.0010,0.9700
bike,Run 2 (No Reg),0.0000,0.0000,0.0326,0.8644,60,59,1,0.0050,0.9000
bike,Run 2 (No Reg),0.0000,0.0000,0.0326,0.1637,60,59,18,0.0050,0.9500
bike,Run 2 (No Reg),0.0000,0.0000,0.0326,0.0504,60,59,35,0.0050,0.9700
bike,Run 2 (No Reg),0.0000,0.0000,0.0326,0.8644,60,60,1,0.0010,0.9000
bike,Run 2 (No Reg),0.0000,0.0000,0.0326,0.1637,60,60,18,0.0010,0.9500
bike,Run 2 (No Reg),0.0000,0.0000,0.0326,0.0503,60,60,36,0.0010,0.9700
bike,Run 2 (No Reg),0.0000,0.0000,0.0326,0.8644,60,59,1,0.0100,0.9000
bike,Run 2 (No Reg),0.0000,0.0000,0.0326,0.1637,60,59,18,0.0100,0.9500
bike,Run 2 (No Reg),0.0000,0.0000,0.0326,0.0504,60,59,35,0.0100,0.9700
bike,Run 4 (Div Only),0.0000,0.5000,0.0326,0.8644,60,59,1,0.0050,0.9000
bike,Run 4 (Div Only),0.0000,0.5000,0.0326,0.1637,60,59,18,0.0050,0.9500
bike,Run 4 (Div Only),0.0000,0.5000,0.0326,0.0514,60,59,35,0.0050,0.9700
bike,Run 4 (Div Only),0.0000,0.5000,0.0326,0.8644,60,60,1,0.0010,0.9000
bike,Run 4 (Div Only),0.0000,0.5000,0.0326,0.1637,60,60,18,0.0010,0.9500
bike,Run 4 (Div Only),0.0000,0.5000,0.0326,0.0503,60,60,36,0.0010,0.9700
bike,Run 4 (Div Only),0.0000,0.5000,0.0326,0.8644,60,57,1,0.0100,0.9000
bike,Run 4 (Div Only),0.0000,0.5000,0.0326,0.1637,60,57,18,0.0100,0.9500
bike,Run 4 (Div Only),0.0000,0.5000,0.0326,0.0537,60,57,34,0.0100,0.9700
bike,Run 4 (Div Only),0.0000,1.0000,0.0326,0.8644,60,60,1,0.0050,0.9000
